pais,tema,tema_descripcion,materia,grado,parametro,porcentaje
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.805
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.195
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.78
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,Sí,0.22
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,No,0.734
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,6,Sí,0.266
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,No,0.729
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,3,Sí,0.271
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,No,0.674
ec,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Matemáticas,6,Sí,0.326
gt,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,No,0.949
gt,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Ciencias,6,Sí,0.051
gt,Formación continua en la disciplina que enseña,Frecuencia de docente que recibieron formación continua en la disciplina que enseña en los últimos dos años por asignatura,Lectura,3,No,0.927
